Account ID,accountName,Lead Industry Category
1019,Hotel and Restaurant Supply,Consumer/Individual
1054,"Westpoint Electric, Inc.",Construction
1063,PRTC,Utility
1072,Basic Fibres,Construction
1074,Hernandez Heating And Air,Construction
1076,Terra Engineering,Services: Home & Business
108,Dynamic Tank Designs,Services: Home & Business
1089,Watkins Plumbing,Services: Home & Business
1098,Aero Delivery,Transportation & Transit
111,Cardinal Industries,Industrial
1119,Ruxer's Ford Lincoln Mercury,Automotive
1128,Absolute Protection,Services: Home & Business
1133,Esquivel Grading and Paving,Construction
1139,"Daetweiler Tire Co., Inc.",Automotive
1149,Facility Solutions Group,Construction
1155,C. Cobble Stone Trucking LLC,Transportation & Transit
1157,Angelus-Western Paper Fibers,Agriculture
1171,Yakama Power,Services: Home & Business
1181,Sun Lee Inc,Food & Beverage
1182,ANR Transport,Transportation & Transit
1198,Air Conditioning Specialist,Services: Home & Business
1208,GB Enterprises,Trucking
1229,Novak Auto Corp.,Automotive
1267,"Shore Acres Plant Farm, Inc.",Agriculture
1290,Choice Medical,Consumer/Individual
1292,Economy Self Storage,Government
1314,A. Blair Enterprises Inc,Food & Beverage
1333,"Insurance Repair Specialists, Inc.",Construction
1337,City of San Bruno,Public Safety
1367,City Neon Sign Systems,Construction
1385,A-Thompson Refrigeration,Construction
1422,Fun Services,Services: Home & Business
1433,Good Transport LLC,Transportation & Transit
1435,Welburn Electric,Construction
1446,San Manuel Indian Bingo and Casino,Services: Home & Business
1466,TRU-WELD Equipment Company,Industrial
15,Ron Hagan,Other
1518,Apex Auto Glass,Automotive
1528,Rec Industries,Construction
1535,Dumas Pumping Service,Construction
1562,Youngstown Radio,Construction
163,Dana Point Cigar,Food & Beverage
165,Trimax Mowing Systems,Agriculture
1650,Last Chance Trucking,Trucking
1662,New York Window Film Co Inc.,Consumer/Individual
1665,The Pilots' Association,Consumer/Individual
1673,Power and Construction Group Inc,Construction
1697,Nomadic Genius,Services: Home & Business
171,Weatherproofing Services,
1710,Highway Commercial,Insurance & Financial Services
172,"JDJ Comfort Systems, Inc.",Services: Home & Business
1744,ARI,Trucking
1746,R and J Material Handling Limited,Oil & Gas
1753,Creative Mirror and Shower,Consumer/Individual
176,Amtech Construction,Construction
1771,Caliber Equipment,Industrial
1772,Northern Texas Trade Association,Trucking
186,America Midwest,Trucking
1865,Gold Eagle Co-Op,Food & Beverage
188,Bat-Ha,Trucking
1902,Restronic,Services: Home & Business
1913,"BC 5, Inc.",Transportation & Transit
1922,"Industrial Builders, Inc.",Construction
193,"Automatic Access, Inc.",Services: Home & Business
1936,"Speedy Towing Service, LLC",Transportation & Transit
1938,Nanticoke Fence,Construction
1958,BAHAMAS ASSET TRACKING LTD,
196,Praxis Optical Networks,Government
1987,JM Furniture,Consumer/Individual
20016,PARAGON FIELD SERVICES LLC,Services: Home & Business
20025,William T Jenkins Inc.,Construction
20034,D and G Metal Works LLC,Industrial
20037,Shield Engineering Group PLLC,Services: Home & Business
20051,BriJohn Trucking,Trucking
20054,Murex Petroleum Corporation,Oil & Gas
20055,Dilettante Chocolates,Food & Beverage
20064,Aire Serv of Southern Michigan,Construction
20065,Greco International Corp,Healthcare
20069,Cedar Valley Steel Inc,Construction
20073,Ohio Medical Transport LLC,Public Safety
20077,Joseph Heil Company Inc.,Construction
20080,Sikes Brothers Inc,Construction
2010,GILS APPLIANCE,Consumer/Individual
20102,Tenaya Equipment Inc.,Industrial
20105,Havlicek Trucking,Trucking
20120,All Seasons Insulation Co.,Construction
20130,16d LLC,Services: Home & Business
20135,M.A. Wiggins Logistics LLC,Transportation & Transit
20146,Daniel C.,
20154,Northern Ohio Equipment Services,Oil & Gas
20158,J P Plumbing and Heating LLC,Construction
20164,Arnold Motor Supply,Automotive
20167,Lincoln Creek Lumber,Construction
20171,Heavy Weight INC,Consumer/Individual
20175,MotionAG,Agriculture
20177,Big Roy Trucking Inc,Trucking
2018,Bright Brass and Metal,Services: Home & Business
20181,Copy Pro,Consumer/Individual
20182,Nationwide Distributor's Inc,Transportation & Transit
20196,Rodney T Morton Trucking,Trucking
20199,Spicer Gas,Oil & Gas
